п/п,№,ФИО,ВУЗ/ филиал,ВУЗ/ филиал,Код направления,Группа ООП 2023-2024,Программа ЦК,Группа ЦК,
1,473,6538eac2a04fb531ff864928,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-362,СИИ,СИИ-7,
2,1087,653a349a31e2da38f4e254d9,ВолгГТУ,ФТПП,15.03.02 Технологические машины и оборудование,МАП-450,СУБД,СУБД-5,
3,565,6539303ca04fb531ff865c8b,ВолгГТУ,ФЭУ,38.03.01 Экономика,ЭФК-459,СУБД,СУБД-6,
4,685,6538eac7a04fb531ff86492b,ВолгГТУ,ФЭУ,09.03.03 Прикладная информатика,ЭП-261,СИИ,СИИ-4,
5,481,6538eacca04fb531ff86492e,КТИ,КТИ,09.03.01 Информатика и вычислительная техника,КВТ-211,СИИ,СИИ-9,
6,997,653956d3a04fb531ff866151,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-2-22,РВП,РВП-6,
7,17,6538f765a04fb531ff864efa,ВолгГМУ,Педиатрический,31.05.02 Педиатрия,2,ППЦП,ППЦП-10,
8,766,6538f76aa04fb531ff864efc,ВолгГТУ,ФАСТиВ,15.04.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-2н,ППЦП,ППЦП,
9,1168,6538f770a04fb531ff864f00,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-224,ППЦП,ППЦП-9,
10,1031,653f571dc22f41eeee3590a8,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-367,РИС_1С,РИС-1,
11,676,6538ead1a04fb531ff864931,ВолгГТУ,ФЭУ,38.03.05 Бизнес-информатика,БИ-263,СИИ,СИИ-4,
12,51,6538ead7a04fb531ff864934,ВПИ,ФЭИ ВПИ,09.03.01 Информатика и вычислительная техника,ВВТ-206,СИИ,СИИ-3,
13,1039,6538f775a04fb531ff864f03,ВПИ,ФЭИ ВПИ,38.04.01 Экономика,ВЭМ-1,РВП,РВП-5,
14,59,6538eadca04fb531ff864937,ВПИ,ФЭИ ВПИ,09.03.01 Информатика и вычислительная техника,ВВТ-306,СИИ,СИИ-3,
15,715,6538eae1a04fb531ff86493b,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИн-266,СИИ,СИИ-2,
16,37,6537e202c2f29c6ab8f7c6d1,ВолгГМУ,фармацевтический,33.05.01 Фармация,501,ПиР_1С,ПИР-11,
17,793,6537e207c2f29c6ab8f7c6d3,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,ПиР_1С,ПИР-5,
18,3,653e559f4f415b783ef5c926,ВА МВД,подготовки следователей,40.05.01 Правовое обеспечение национальной безопасности,305,СУБД,СУБД-1,
19,,6538f77aa04fb531ff864f05,ВолГАУ,,инженерно-технологический,ИтФомАИ222,ППЦП,ППЦП-9,
20,817,6538eae6a04fb531ff86493e,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-21,СИИ,СИИ-11,
21,1169,6538f77fa04fb531ff864f07,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-324,ППЦП,ППЦП-9,
22,107,6538f784a04fb531ff864f0a,ВолгГМУ,лечебное дело,31.05.01 Лечебное дело,510,ППЦП,ППЦП-10,
23,832,6394230d981de28d85ac38c1,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-2-21,СИИ,СИИ-11,
24,335,6537e20cc2f29c6ab8f7c6d4,ИАиС,ФТИСиТБ ИАиС,20.05.01 Пожарная безопасность,ПБ-1-19,ПиР_1С,ПИР-7,
25,580,6537d1a4c2f29c6ab8f7c34e,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,АД-1-22,ППСА,ППСА-1,
26,10,6538f789a04fb531ff864f0c,ВолгГМУ,фармацевтический,33.05.01 Фармация,404,ППЦП,ППЦП-11,
27,25,6538eabea04fb531ff864925,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-261,СИИ,СИИ-1,
28,560,6537e211c2f29c6ab8f7c6d5,ВолгГТУ,ФЭУ,38.03.02 Менеджмент,ЭМФ-355,ПиР_1С,ПИР-2,
29,796,6538eaf0a04fb531ff864945,ИАиС,ФАГР ИАиС,09.03.02 Информационные системы и технологии,ИСТ-1-22,СИИ,СИИ-13,
30,409,6540af368d4312cf6ca30a0a,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,РИС_1С,РИС-1,
31,1069,653956d7a04fb531ff866152,КТИ,КТИ,"38.03.01 Экономика
        ",КБА-211 св,РВП,РВП-8,
32,67,6538f78ea04fb531ff864f0d,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-424,ППЦП,ППЦП-4,
33,62,6538f793a04fb531ff864f0f,ВолгГМУ,МПД,32.05.01 Медико-профилактическое дело,603,ППЦП,ППЦП-10,
34,1082,6537e216c2f29c6ab8f7c6d6,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,ПиР_1С,ПИР-5,
35,375,6538f798a04fb531ff864f11,ВолгГТУ,ФТКМ,15.04.01 машиностроение,СП-2п,ППЦП,ППЦП-7,
36,995,6538eaf5a04fb531ff864949,ВолгГТУ,ФЭВТ,09.03.04 Программная инженерия,ПрИи-466,СИИ,СИИ-6,
37,605,6537e21bc2f29c6ab8f7c6d7,ИАиС,ФТИСиТБ ИАиС,08.03.01 Строительство,ТГВ-1-22,ПиР_1С,ПИР-7,
38,324,6537e220c2f29c6ab8f7c6d8,ВолгГТУ,ФЭУ,42.03.01 Реклама и связи с общественностью,ЭР-253,ПиР_1С,ПИР-8,
39,44,653956dca04fb531ff866154,ВолгГМУ,,Специалитет,303,РВП,РВП-9,
40,656,6537e225c2f29c6ab8f7c6dc,ВолгГТУ,ФАТ,23.05.01 Наземные транспортно-технологические средства,АТС-311,ПиР_1С,ПИР-2,
41,1072,6537e22ac2f29c6ab8f7c6dd,ВолгГТУ,ФАТ,23.03.01 Технология транспортных процессов,АТ-416,ПиР_1С,ПИР-9,
42,23,6538eafaa04fb531ff86494c,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-261,СИИ,СИИ-1,
43,700,653956e0a04fb531ff866156,ВолгГТУ,ФЭУ,38.03.01 Экономика,Э-256,РВП,РВП-9,
44,1112,6537d1a9c2f29c6ab8f7c350,ИАиС,ФСиЖКХ ИАиС,15.03.02 Технологические машины и оборудование,МНС-1-21,ППСА,ППСА-2,
45,4,65368e92e5c39656e881883c,ВолГАУ,,09.03.03 Прикладная информатика,ЭМФПИ221,СИИ,СИИ-8,
46,523,6540af3b8d4312cf6ca30a0b,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-260,РИС_1С,РИС-1,
47,80,6538f79da04fb531ff864f14,ВолгГМУ,фармацевтический,33.05.01 Фармация,401,ППЦП,ППЦП-10,
48,1170,6538f7a2a04fb531ff864f16,ВолгГТУ,ФАСТиВ,15.03.05 Конструкторско-технологическое обеспечение машиностроительных производств,КТО-224,ППЦП,ППЦП-9,
49,238,6537e22fc2f29c6ab8f7c6de,ВолгГТУ,ФТКМ,22.04.02 Металлургия,ЛПМ-1Н,ПиР_1С,ПИР-1,
50,35,6538eb04a04fb531ff864951,ВолгГТУ,ФЭВТ,09.03.01 Информатика и вычислительная техника,ИВТ-263,СИИ,СИИ-8,
51,577,6537e234c2f29c6ab8f7c6df,ВолгГТУ,ФЭУ,38.03.02 Менеджмент,ЭМФ-355,ПиР_1С,ПИР-2,
52,653,6537e239c2f29c6ab8f7c6e0,ВолгГТУ,ФАТ,23.05.01 Наземные транспортно-технологические средства,АТС-311,ПиР_1С,ПИР-2,
53,1185,6537d1adc2f29c6ab8f7c352,ВолгГТУ,ФСиЖКХ ИАиС,08.03.01 Строительство,ПГС-1-20,ППСА,ППСА-11,
54,1065,653956e5a04fb531ff866158,КТИ,КТИ,"38.03.01 Экономика
        ",КБА-211 св,РВП,РВП-8,
